City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kavaratti,100,IN,1560164642,75,10.57,72.64,85.58,37.04
1,barrow,73,AR,1560164642,59,-38.31,-60.23,48.86,8.39
2,kifri,0,IQ,1560164642,8,34.69,44.96,112.76,4.7
3,east london,0,ZA,1560164643,46,-33.02,27.91,71.6,12.75
4,monrovia,75,LR,1560164643,94,6.33,-10.8,78.8,7.72
5,ahipara,60,NZ,1560164643,68,-35.17,173.16,59.48,2.84
6,mataura,48,NZ,1560164644,89,-46.19,168.86,45.62,5.26
7,ilulissat,90,GL,1560164644,100,69.22,-51.1,33.8,6.93
8,catabola,0,AO,1560164644,30,-12.14,17.29,74.24,9.04
9,albany,1,US,1560164645,81,42.65,-73.75,59.0,4.7
10,san ramon,71,NI,1560164645,91,12.92,-85.84,68.0,1.01
11,tasiilaq,75,GL,1560164646,64,65.61,-37.64,39.2,6.93
12,castro,41,CL,1560164646,100,-42.48,-73.76,33.8,3.36
13,chokurdakh,18,RU,1560164647,25,70.62,147.9,69.38,9.22
14,juneau,90,US,1560164647,93,58.3,-134.42,52.0,4.7
15,port elizabeth,90,US,1560164647,94,39.31,-74.98,69.01,11.41
16,clyde river,90,CA,1560164648,100,70.47,-68.59,33.8,8.05
17,birao,100,CF,1560164648,45,10.3,22.78,91.52,12.55
18,atuona,60,PF,1560164649,70,-9.8,-139.03,81.62,16.37
19,tuktoyaktuk,19,CA,1560164649,78,69.44,-133.03,35.18,3.91
20,geraldton,90,CA,1560164649,100,49.72,-86.95,51.8,11.41
21,mushie,23,CD,1560164650,21,-3.02,16.92,99.08,5.08
22,gamba,0,CN,1560164650,14,28.28,88.52,51.02,15.5
23,kinsale,75,IE,1560164650,66,51.71,-8.52,53.6,11.41
24,jamestown,0,AU,1560164651,58,-33.21,138.6,52.46,7.0
25,omboue,53,GA,1560164651,84,-1.57,9.26,76.22,10.96
26,rikitea,81,PF,1560164652,73,-23.12,-134.97,72.62,13.4
27,cape town,75,ZA,1560164580,67,-33.93,18.42,66.99,14.99
28,puerto ayora,29,EC,1560164652,89,-0.74,-90.35,73.34,8.5
29,sarh,85,TD,1560164653,34,9.14,18.39,98.9,3.78
30,moron,95,VE,1560164653,72,10.49,-68.2,81.8,2.28
31,ushuaia,40,AR,1560164654,73,-54.81,-68.31,32.0,23.04
32,usinsk,100,RU,1560164654,78,66.0,57.56,46.34,16.22
33,nemuro,1,JP,1560164654,88,43.32,145.57,49.4,7.83
34,novopokrovka,9,RU,1560164655,94,45.85,134.51,60.38,2.62
