City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pevek,0,RU,1560162510,79,69.7,170.27,40.9,2.86
1,cape town,75,ZA,1560162334,67,-33.93,18.42,66.0,14.99
2,kashihara,75,JP,1560162510,68,34.51,135.79,72.0,10.29
3,kaitangata,81,NZ,1560162511,82,-46.28,169.85,45.0,1.01
4,keetmanshoop,0,NA,1560162511,16,-26.57,18.15,68.0,2.24
5,los llanos de aridane,40,ES,1560162511,60,28.66,-17.92,71.6,13.87
6,arraial do cabo,75,BR,1560162512,94,-22.97,-42.02,68.0,4.7
7,pacific grove,1,US,1560162512,52,36.62,-121.92,71.01,6.67
8,luderitz,0,NA,1560162512,70,-26.65,15.16,59.62,11.16
9,airai,5,TL,1560162513,65,-8.93,125.41,82.3,2.44
10,hilo,90,US,1560162513,78,19.71,-155.08,73.4,4.7
11,grootfontein,0,NA,1560162514,26,-19.56,18.1,67.9,9.66
12,hobart,98,AU,1560162251,69,-42.88,147.33,55.0,3.0
13,chuy,73,UY,1560162514,92,-33.69,-53.46,64.3,15.21
14,yellowknife,20,CA,1560162514,80,62.45,-114.38,35.6,6.93
15,bluff,16,AU,1560162515,60,-23.58,149.07,67.54,6.62
16,busselton,31,AU,1560162515,55,-33.64,115.35,51.01,34.54
17,namibe,0,AO,1560162517,64,-15.19,12.15,73.4,1.03
18,torrington,1,US,1560162517,42,42.06,-104.18,44.01,5.93
19,itarema,93,BR,1560162517,91,-2.92,-39.92,74.38,5.44
20,arlit,13,NE,1560162518,8,18.74,7.39,102.28,11.34
21,saint-augustin,75,FR,1560162518,55,44.83,-0.61,66.0,4.7
22,bambous virieux,90,MU,1560162518,78,-20.34,57.76,77.0,10.29
23,the valley,20,AI,1560162514,78,18.22,-63.06,81.0,12.75
24,port alfred,3,ZA,1560162519,69,-33.59,26.89,69.01,3.0
25,tsumeb,0,NA,1560162519,20,-19.25,17.72,72.58,10.69
26,rikitea,85,PF,1560162520,73,-23.12,-134.97,72.94,14.12
27,san felipe,100,CL,1560162520,41,-32.75,-70.73,51.01,1.72
28,petropavlovsk-kamchatskiy,75,RU,1560162521,81,53.05,158.65,48.2,6.71
29,torbay,90,CA,1560162521,93,47.66,-52.73,43.0,14.99
30,gunjur,40,GM,1560162521,69,13.18,-16.76,82.4,8.05
31,gushikawa,1,JP,1560162522,88,26.35,127.87,78.8,4.7
32,lebu,75,ET,1560162522,82,8.96,38.73,64.4,6.93
33,ushuaia,40,AR,1560162522,73,-54.81,-68.31,32.0,23.04
34,sao joao da barra,75,BR,1560162523,94,-21.64,-41.05,68.0,3.98
35,punta arenas,20,CL,1560162523,80,-53.16,-70.91,33.8,17.22
36,kapaa,20,US,1560162524,83,22.08,-159.32,75.2,5.82
37,lake charles,1,US,1560162524,88,30.23,-93.22,78.8,6.93
38,tuktoyaktuk,19,CA,1560162524,75,69.44,-133.03,36.58,5.73
39,albany,75,US,1560162525,71,42.65,-73.75,57.0,1.32
40,new norfolk,98,AU,1560162525,46,-42.78,147.06,55.0,11.99
41,banatski karlovac,20,RS,1560162525,58,45.05,21.02,84.2,5.82
42,turbat,0,PK,1560162526,5,26.0,63.05,116.86,17.27
43,tiksi,0,RU,1560162526,41,71.64,128.87,59.98,14.92
44,big spring,90,US,1560162527,67,32.25,-101.48,64.0,17.22
45,mukhen,60,RU,1560162527,71,48.19,136.14,71.14,4.23
46,east london,0,ZA,1560162527,46,-33.02,27.91,71.6,12.75
47,palmer,0,AU,1560162528,76,-34.85,139.16,54.0,1.12
48,avarua,99,CK,1560162528,73,-21.21,-159.78,75.2,5.82
49,soyo,75,AO,1560162528,78,-6.13,12.37,77.0,5.82
50,geraldton,90,CA,1560162529,100,49.72,-86.95,51.8,11.41
51,deputatskiy,41,RU,1560162529,20,69.3,139.9,72.58,11.48
52,vaini,75,IN,1560162530,44,15.34,74.49,93.2,13.87
53,sur,0,OM,1560162530,10,22.57,59.53,111.28,9.86
54,comodoro rivadavia,40,AR,1560162530,55,-45.87,-67.48,39.2,19.46
55,liliani,0,PK,1560162531,9,32.21,72.95,110.92,4.97
56,saint george,40,GR,1560162433,42,39.45,22.34,84.2,5.82
57,dikson,49,RU,1560162532,92,73.51,80.55,31.36,4.94
58,port elizabeth,90,US,1560162532,100,39.31,-74.98,69.01,6.93
59,erzin,0,TR,1560162532,52,36.95,36.2,90.0,26.4
60,kikwit,34,CD,1560162533,18,-5.04,18.82,90.58,9.51
61,pitimbu,75,BR,1560162533,100,-7.47,-34.81,75.2,3.36
62,mar del plata,91,AR,1560162533,49,-46.43,-67.52,37.12,21.18
